stop1,stop2,transporte1,transporte2
CUATRO CAMINOS,GUZMAN EL BUENO,urban,urban
CUATRO CAMINOS,NUEVOS MINISTERIOS,urban,urban
CUATRO CAMINOS,RIOS ROSAS,urban,urban
CUZCO,PLAZA DE CASTILLA,urban,urban
CUZCO,SANTIAGO BERNABEU,urban,urban
CUZCO,TETUAN,urban,urban
CUZCO,VALDEACEDERAS,urban,urban
DELICIAS,EMBAJADORES,urban,urban
DELICIAS,LEGAZPI,urban,urban
DELICIAS,MENDEZ ALVARO,urban,urban
DELICIAS,PALOS DE LA FRONTERA,urban,urban
DELICIAS,PLAZA ELIPTICA,urban,urban
DELICIAS,USERA,urban,urban
DIEGO DE LEON,LISTA,urban,urban
DIEGO DE LEON,MANUEL BECERRA,urban,urban
DIEGO DE LEON,NUÑEZ DE BALBOA,urban,urban
DIEGO DE LEON,PARQUE DE LAS AVENIDAS,urban,urban
DIEGO DE LEON,VENTAS,urban,urban
DUQUE DE PASTRANA,PIO XII,urban,urban
DUQUE DE PASTRANA,PLAZA DE CASTILLA,urban,urban
EL CARMEN,LA ELIPA,urban,urban
EL CARMEN,PARQUE DE LAS AVENIDAS,urban,urban
EL CARMEN,PUEBLO NUEVO,urban,urban
EL CARMEN,QUINTANA,urban,urban
EL CARMEN,VENTAS,urban,urban
EMBAJADORES,LAVAPIES,urban,urban
EMBAJADORES,PIRAMIDES,urban,urban
EMPALME,LAGUNA,urban,urban
ESPERANZA,PINAR DEL REY,urban,urban
ESTACION DEL ARTE,LAVAPIES,urban,urban
ESTACION DEL ARTE,MENENDEZ PELAYO,urban,urban
ESTACION DEL ARTE,PALOS DE LA FRONTERA,urban,urban
ESTACION DEL ARTE,RETIRO,urban,urban
ESTACION DEL ARTE,SEVILLA,urban,urban
ESTACION DEL ARTE,USERA,urban,urban
ESTADIO METROPOLITANO,LAS MUSAS,urban,urban
ESTADIO METROPOLITANO,LAS ROSAS,urban,urban
ESTRECHO,FRANCOS RODRIGUEZ,urban,urban
ESTRECHO,SANTIAGO BERNABEU,urban,urban
ESTRECHO,TETUAN,urban,urban
ESTRELLA,ODONNELL,urban,urban
ESTRELLA,PUENTE DE VALLECAS,urban,urban
ESTRELLA,SAINZ DE BARANDA,urban,urban
ESTRELLA,VINATEROS,urban,urban
FERIA DE MADRID,MAR DE CRISTAL,urban,urban
FERIA DE MADRID,SUANZES,urban,urban
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,urban,urban
FRANCOS RODRIGUEZ,VALDEZARZA,urban,urban
FRANCOS RODRIGUEZ,VICENTE ALEIXANDRE,urban,urban
FUENCARRAL,HERRERA ORIA,urban,urban
FUENCARRAL,LAS TABLAS,urban,urban
FUENCARRAL,MONTECARMELO,urban,urban
FUENCARRAL,PACO DE LUCIA,urban,urban
FUENCARRAL,TRES OLIVOS,urban,urban
GARCIA NOBLEJAS,LA ALMUDENA,urban,urban
GARCIA NOBLEJAS,SIMANCAS,urban,urban
GARCIA NOBLEJAS,SUANZES,urban,urban
GOYA,IBIZA,urban,urban
GOYA,LISTA,urban,urban
GOYA,MANUEL BECERRA,urban,urban
GOYA,ODONNELL,urban,urban
GOYA,PRINCIPE DE VERGARA,urban,urban
GRAN VIA,SEVILLA,urban,urban
GRAN VIA,TRIBUNAL,urban,urban
GREGORIO MARAÑON,IGLESIA,urban,urban
GREGORIO MARAÑON,NUEVOS MINISTERIOS,urban,urban
GREGORIO MARAÑON,REPUBLICA ARGENTINA,urban,urban
GREGORIO MARAÑON,RIOS ROSAS,urban,urban
GREGORIO MARAÑON,RUBEN DARIO,urban,urban
GUZMAN EL BUENO,ISLAS FILIPINAS,urban,urban
GUZMAN EL BUENO,VICENTE ALEIXANDRE,urban,urban
HERRERA ORIA,PACO DE LUCIA,urban,urban
HORTALEZA,LAS TABLAS,urban,urban
HORTALEZA,MANOTERAS,urban,urban
HORTALEZA,PARQUE DE SANTA MARIA,urban,urban
HORTALEZA,PINAR DEL REY,urban,urban
HOSPITAL 12 DE OCTUBRE,PAN BENDITO,urban,urban
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,urban,urban
HOSPITAL 12 DE OCTUBRE,USERA,urban,urban
IBIZA,MENENDEZ PELAYO,urban,urban
IBIZA,PRINCIPE DE VERGARA,urban,urban
IBIZA,SAINZ DE BARANDA,urban,urban
IGLESIA,QUEVEDO,urban,urban
IGLESIA,RUBEN DARIO,urban,urban
ISLAS FILIPINAS,MONCLOA,urban,urban
ISLAS FILIPINAS,QUEVEDO,urban,urban
ISLAS FILIPINAS,VICENTE ALEIXANDRE,urban,urban
LA ALMUDENA,LA ELIPA,urban,urban
LA ALMUDENA,SIMANCAS,urban,urban
LA ELIPA,ODONNELL,urban,urban
LA ELIPA,PUEBLO NUEVO,urban,urban
LA ELIPA,QUINTANA,urban,urban
LA ELIPA,VINATEROS,urban,urban
LA GAVIA,LAS SUERTES,urban,urban
LA LATINA,LAVAPIES,urban,urban
LA LATINA,MARQUES DE VADILLO,urban,urban
LA LATINA,OPERA,urban,urban
LA LATINA,PUERTA DE TOLEDO,urban,urban
LA LATINA,PUERTA DEL ANGEL,urban,urban
LA LATINA,SOL,urban,urban
LA LATINA,TIRSO DE MOLINA,urban,urban
LA PESETA,PAN BENDITO,urban,urban
LA PESETA,SAN FRANCISCO,urban,urban
LACOMA,MIRASIERRA,urban,urban
LAGUNA,LUCERO,urban,urban
LAGUNA,PUERTA DEL ANGEL,urban,urban
LAS MUSAS,LAS ROSAS,urban,urban
LAS MUSAS,SAN BLAS,urban,urban
LAS MUSAS,SUANZES,urban,urban
LAS MUSAS,TORRE ARIAS,urban,urban
LAS SUERTES,VALDECARROS,urban,urban
LAS TABLAS,MONTECARMELO,urban,urban
LAS TABLAS,RONDA DE LA COMUNICACION,urban,urban
LAVAPIES,PALOS DE LA FRONTERA,urban,urban
LAVAPIES,TIRSO DE MOLINA,urban,urban
LEGAZPI,MARQUES DE VADILLO,urban,urban
LEGAZPI,MENDEZ ALVARO,urban,urban
LEGAZPI,PIRAMIDES,urban,urban
LEGAZPI,USERA,urban,urban
LISTA,MANUEL BECERRA,urban,urban
LISTA,NUÑEZ DE BALBOA,urban,urban
LUCERO,PUERTA DEL ANGEL,urban,urban
MANOTERAS,PINAR DE CHAMARTIN,urban,urban
MANOTERAS,PIO XII,urban,urban
MANUEL BECERRA,ODONNELL,urban,urban
MANUEL BECERRA,VENTAS,urban,urban
MAR DE CRISTAL,PINAR DEL REY,urban,urban
MAR DE CRISTAL,SAN LORENZO,urban,urban
MARQUES DE VADILLO,PIRAMIDES,urban,urban
MARQUES DE VADILLO,PLAZA ELIPTICA,urban,urban
MARQUES DE VADILLO,PUERTA DEL ANGEL,urban,urban
MARQUES DE VADILLO,URGEL,urban,urban
MARQUES DE VADILLO,USERA,urban,urban
MENDEZ ALVARO,MENENDEZ PELAYO,urban,urban
MENDEZ ALVARO,PACIFICO,urban,urban
MENDEZ ALVARO,PUENTE DE VALLECAS,urban,urban
MENENDEZ PELAYO,PACIFICO,urban,urban
MENENDEZ PELAYO,PALOS DE LA FRONTERA,urban,urban
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,urban,urban
MIRASIERRA,PACO DE LUCIA,urban,urban
MIRASIERRA,PITIS,urban,urban
MONTECARMELO,PACO DE LUCIA,urban,urban
NOVICIADO,PLAZA DE ESPAÑA,urban,urban
NOVICIADO,SAN BERNARDO,urban,urban
NOVICIADO,SANTO DOMINGO,urban,urban
NOVICIADO,TRIBUNAL,urban,urban
NUEVA NUMANCIA,PORTAZGO,urban,urban
NUEVA NUMANCIA,PUENTE DE VALLECAS,urban,urban
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,urban,urban
NUEVOS MINISTERIOS,RIOS ROSAS,urban,urban
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,urban,urban
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,urban,urban
NUÑEZ DE BALBOA,RUBEN DARIO,urban,urban
NUÑEZ DE BALBOA,VELAZQUEZ,urban,urban
ODONNELL,PAVONES,urban,urban
ODONNELL,SAINZ DE BARANDA,urban,urban
ODONNELL,VICALVARO,urban,urban
OPAÑEL,OPORTO,urban,urban
OPAÑEL,PLAZA ELIPTICA,urban,urban
OPERA,PLAZA DE ESPAÑA,urban,urban
OPERA,PUERTA DE TOLEDO,urban,urban
OPORTO,URGEL,urban,urban
OPORTO,VISTA ALEGRE,urban,urban
PACIFICO,PUENTE DE VALLECAS,urban,urban
PACO DE LUCIA,PITIS,urban,urban
PALOS DE LA FRONTERA,PLAZA ELIPTICA,urban,urban
PAN BENDITO,PLAZA ELIPTICA,urban,urban
PAN BENDITO,SAN FERMIN-ORCASUR,urban,urban
PAN BENDITO,SAN FRANCISCO,urban,urban
PARQUE DE LAS AVENIDAS,VENTAS,urban,urban
PARQUE DE SANTA MARIA,SAN LORENZO,urban,urban
PAVONES,VALDEBERNARDO,urban,urban
PAVONES,VICALVARO,urban,urban
PINAR DE CHAMARTIN,PIO XII,urban,urban
PIRAMIDES,PUERTA DE TOLEDO,urban,urban
PIRAMIDES,PUERTA DEL ANGEL,urban,urban
PLAZA DE CASTILLA,VALDEACEDERAS,urban,urban
PLAZA DE CASTILLA,VENTILLA,urban,urban
PLAZA DE ESPAÑA,PRINCIPE PIO,urban,urban
PLAZA DE ESPAÑA,SANTO DOMINGO,urban,urban
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,urban,urban
PLAZA ELIPTICA,SAN FERMIN-ORCASUR,urban,urban
PLAZA ELIPTICA,USERA,urban,urban
PRINCIPE DE VERGARA,RETIRO,urban,urban
PRINCIPE DE VERGARA,SERRANO,urban,urban
PRINCIPE DE VERGARA,VELAZQUEZ,urban,urban
PRINCIPE PIO,PUERTA DEL ANGEL,urban,urban
PUENTE DE VALLECAS,VINATEROS,urban,urban
PUERTA DE ARGANDA,SAN CIPRIANO,urban,urban
PUERTA DE ARGANDA,VICALVARO,urban,urban
PUERTA DE TOLEDO,PUERTA DEL ANGEL,urban,urban
REPUBLICA ARGENTINA,RUBEN DARIO,urban,urban
RETIRO,SERRANO,urban,urban
RETIRO,VELAZQUEZ,urban,urban
RUBEN DARIO,SERRANO,urban,urban
SAN BERNARDO,VENTURA RODRIGUEZ,urban,urban
SAN BLAS,SIMANCAS,urban,urban
SAN CIPRIANO,VALDEBERNARDO,urban,urban
SAN CIPRIANO,VICALVARO,urban,urban
SAN CRISTOBAL,VILLAVERDE ALTO,urban,urban
SAN CRISTOBAL,VILLAVERDE BAJO CRUCE,urban,urban
SAN FERMIN-ORCASUR,USERA,urban,urban
SERRANO,VELAZQUEZ,urban,urban
SEVILLA,SOL,urban,urban
SIERRA DE GUADALUPE,VALDEBERNARDO,urban,urban
SIERRA DE GUADALUPE,VILLA DE VALLECAS,urban,urban
SIERRA DE GUADALUPE,VILLAVERDE BAJO CRUCE,urban,urban
SIMANCAS,TORRE ARIAS,urban,urban
SOL,TIRSO DE MOLINA,urban,urban
SUANZES,TORRE ARIAS,urban,urban
TETUAN,VALDEACEDERAS,urban,urban
VALDEACEDERAS,VENTILLA,urban,urban
VALDEBERNARDO,VICALVARO,urban,urban
VILLAVERDE ALTO,VILLAVERDE BAJO CRUCE,urban,urban
ABRANTES,OPAÑEL,interurban,interurban
ABRANTES,PAN BENDITO,interurban,interurban
AEROPUERTO T-4,BARAJAS,interurban,interurban
AEROPUERTO T-4,FERIA DE MADRID,interurban,interurban
AEROPUERTO T-4,MANUEL DE FALLA,interurban,interurban
AEROPUERTO T-4,MARQUES DE LA VALDAVIA,interurban,interurban
AEROPUERTO T1-T2-T3,COSLADA CENTRAL,interurban,interurban
ALAMEDA DE OSUNA,BARAJAS,interurban,interurban
ALAMEDA DE OSUNA,CANILLEJAS,interurban,interurban
ALCORCON CENTRAL,CUATRO VIENTOS,interurban,interurban
ALCORCON CENTRAL,MOSTOLES CENTRAL,interurban,interurban
ALCORCON CENTRAL,PARQUE LISBOA,interurban,interurban
ALCORCON CENTRAL,PARQUE OESTE,interurban,interurban
ALCORCON CENTRAL,PRADILLO,interurban,interurban
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,interurban,interurban
ALMENDRALES,LEGAZPI,interurban,interurban
ALONSO DE MENDOZA,CONSERVATORIO,interurban,interurban
ALONSO DE MENDOZA,GETAFE CENTRAL,interurban,interurban
ALONSO DE MENDOZA,JUAN DE LA CIERVA,interurban,interurban
ALSACIA,AVENIDA DE GUADALAJARA,interurban,interurban
ALSACIA,SIMANCAS,interurban,interurban
ALSACIA,VICALVARO,interurban,interurban
ALUCHE,CARABANCHEL ALTO,interurban,interurban
ALUCHE,EMPALME,interurban,interurban
ALUCHE,LA FORTUNA,interurban,interurban
ARGANDA DEL REY,LA POVEDA,interurban,interurban
ARGANDA DEL REY,PAVONES,interurban,interurban
ARGANDA DEL REY,RIVAS VACIAMADRID,interurban,interurban
ARROYO CULEBRO,CONSERVATORIO,interurban,interurban
ATOCHA,PLAZA ELIPTICA,interurban,interurban
AVENIDA DE AMERICA,CANILLEJAS,interurban,interurban
AVENIDA DE AMERICA,CARTAGENA,interurban,interurban
AVENIDA DE AMERICA,PARQUE DE LAS AVENIDAS,interurban,interurban
AVENIDA DE GUADALAJARA,VICALVARO,interurban,interurban
AVENIDA DE LA ILUSTRACION,HERRERA ORIA,interurban,interurban
AVIACION ESPAÑOLA,CAMPAMENTO,interurban,interurban
AVIACION ESPAÑOLA,COLONIA JARDIN,interurban,interurban
AVIACION ESPAÑOLA,CUATRO VIENTOS,interurban,interurban
BAMBU,CHAMARTIN,interurban,interurban
BAMBU,MARQUES DE LA VALDAVIA,interurban,interurban
BAMBU,PINAR DE CHAMARTIN,interurban,interurban
BARAJAS,CANILLEJAS,interurban,interurban
BARRIO DEL PUERTO,COSLADA CENTRAL,interurban,interurban
BARRIO DEL PUERTO,ESTADIO METROPOLITANO,interurban,interurban
BARRIO DEL PUERTO,PUERTA DE ARGANDA,interurban,interurban
BAUNATAL,BEGOÑA,interurban,interurban
BAUNATAL,HOSPITAL INFANTA SOFIA,interurban,interurban
BAUNATAL,LA MORALEJA,interurban,interurban
BAUNATAL,MANUEL DE FALLA,interurban,interurban
BAUNATAL,MARQUES DE LA VALDAVIA,interurban,interurban
BAUNATAL,REYES CATOLICOS,interurban,interurban
BEGOÑA,CHAMARTIN,interurban,interurban
BEGOÑA,FUENCARRAL,interurban,interurban
BEGOÑA,HERRERA ORIA,interurban,interurban
BEGOÑA,HOSPITAL INFANTA SOFIA,interurban,interurban
BEGOÑA,LA MORALEJA,interurban,interurban
BEGOÑA,MARQUES DE LA VALDAVIA,interurban,interurban
BEGOÑA,PLAZA DE CASTILLA,interurban,interurban
BEGOÑA,RONDA DE LA COMUNICACION,interurban,interurban
BEGOÑA,TRES OLIVOS,interurban,interurban
CAMPAMENTO,COLONIA JARDIN,interurban,interurban
CAMPAMENTO,CUATRO VIENTOS,interurban,interurban
CAMPAMENTO,EMPALME,interurban,interurban
CAMPAMENTO,PRINCIPE PIO,interurban,interurban
CANILLEJAS,EL CAPRICHO,interurban,interurban
CANILLEJAS,FERIA DE MADRID,interurban,interurban
CANILLEJAS,JARAMA,interurban,interurban
CANILLEJAS,PARQUE DE LAS AVENIDAS,interurban,interurban
CANILLEJAS,SAN FERNANDO,interurban,interurban
CARABANCHEL,EUGENIA DE MONTIJO,interurban,interurban
CARABANCHEL,VISTA ALEGRE,interurban,interurban
CARABANCHEL ALTO,EUGENIA DE MONTIJO,interurban,interurban
CARABANCHEL ALTO,LA FORTUNA,interurban,interurban
CARABANCHEL ALTO,LA PESETA,interurban,interurban
CARABANCHEL ALTO,SAN FRANCISCO,interurban,interurban
CARTAGENA,PARQUE DE LAS AVENIDAS,interurban,interurban
CASA DEL RELOJ,EL CARRASCAL,interurban,interurban
CASA DEL RELOJ,GETAFE CENTRAL,interurban,interurban
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,interurban,interurban
CASA DEL RELOJ,JULIAN BESTEIRO,interurban,interurban
CASA DEL RELOJ,LEGANES CENTRAL,interurban,interurban
CASA DEL RELOJ,SAN NICASIO,interurban,interurban
CHAMARTIN,FUENCARRAL,interurban,interurban
CHAMARTIN,PLAZA DE CASTILLA,interurban,interurban
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,interurban,interurban
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,interurban,interurban
CIUDAD LINEAL,GARCIA NOBLEJAS,interurban,interurban
CIUDAD UNIVERSITARIA,MONCLOA,interurban,interurban
COLONIA JARDIN,EMPALME,interurban,interurban
CONSERVATORIO,DELICIAS,interurban,interurban
CONSERVATORIO,GETAFE CENTRAL,interurban,interurban
CONSERVATORIO,PARQUE DE LOS ESTADOS,interurban,interurban
CONSERVATORIO,PLAZA ELIPTICA,interurban,interurban
COSLADA CENTRAL,LA RAMBLA,interurban,interurban
COSLADA CENTRAL,SAN FERNANDO,interurban,interurban
CUATRO VIENTOS,HOSPITAL DE MOSTOLES,interurban,interurban
CUATRO VIENTOS,JOAQUIN VILUMBRALES,interurban,interurban
CUATRO VIENTOS,MANUELA MALASAÑA,interurban,interurban
CUATRO VIENTOS,MOSTOLES CENTRAL,interurban,interurban
CUATRO VIENTOS,PARQUE LISBOA,interurban,interurban
CUATRO VIENTOS,PRADILLO,interurban,interurban
DELICIAS,ESTACION DEL ARTE,interurban,interurban
DELICIAS,GETAFE CENTRAL,interurban,interurban
DELICIAS,JUAN DE LA CIERVA,interurban,interurban
DELICIAS,USERA,interurban,interurban
EL BERCIAL,EL CARRASCAL,interurban,interurban
EL BERCIAL,GETAFE CENTRAL,interurban,interurban
EL BERCIAL,JUAN DE LA CIERVA,interurban,interurban
EL BERCIAL,LOS ESPARTALES,interurban,interurban
EL BERCIAL,PLAZA ELIPTICA,interurban,interurban
EL CAPRICHO,SAN FERNANDO,interurban,interurban
EL CARRASCAL,JUAN DE LA CIERVA,interurban,interurban
EL CARRASCAL,JULIAN BESTEIRO,interurban,interurban
EL CARRASCAL,LA FORTUNA,interurban,interurban
EL CARRASCAL,PAN BENDITO,interurban,interurban
EL CARRASCAL,VILLAVERDE ALTO,interurban,interurban
EL CASAR,GETAFE CENTRAL,interurban,interurban
EL CASAR,JUAN DE LA CIERVA,interurban,interurban
EL CASAR,LOS ESPARTALES,interurban,interurban
EL CASAR,SAN CRISTOBAL,interurban,interurban
ESTACION DEL ARTE,PALOS DE LA FRONTERA,interurban,interurban
ESTACION DEL ARTE,USERA,interurban,interurban
ESTACION DEL ARTE,VILLAVERDE BAJO CRUCE,interurban,interurban
ESTADIO METROPOLITANO,LAS MUSAS,interurban,interurban
FUENCARRAL,LA GRANJA,interurban,interurban
FUENCARRAL,RONDA DE LA COMUNICACION,interurban,interurban
FUENLABRADA CENTRAL,HOSPITAL SEVERO OCHOA,interurban,interurban
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,interurban,interurban
FUENLABRADA CENTRAL,PARQUE EUROPA,interurban,interurban
GARCIA NOBLEJAS,SIMANCAS,interurban,interurban
GETAFE CENTRAL,JUAN DE LA CIERVA,interurban,interurban
GETAFE CENTRAL,LOS ESPARTALES,interurban,interurban
GETAFE CENTRAL,PLAZA ELIPTICA,interurban,interurban
HENARES,HOSPITAL DEL HENARES,interurban,interurban
HENARES,JARAMA,interurban,interurban
HENARES,LA POVEDA,interurban,interurban
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,interurban,interurban
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,interurban,interurban
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,interurban,interurban
HOSPITAL DE MOSTOLES,MOSTOLES CENTRAL,interurban,interurban
HOSPITAL DE MOSTOLES,PARQUE EUROPA,interurban,interurban
HOSPITAL DE MOSTOLES,PRADILLO,interurban,interurban
HOSPITAL DE MOSTOLES,UNIVERSIDAD REY JUAN CARLOS,interurban,interurban
HOSPITAL DEL HENARES,JARAMA,interurban,interurban
HOSPITAL DEL HENARES,LA RAMBLA,interurban,interurban
HOSPITAL DEL HENARES,SAN FERNANDO,interurban,interurban
HOSPITAL INFANTA SOFIA,LA MORALEJA,interurban,interurban
HOSPITAL INFANTA SOFIA,REYES CATOLICOS,interurban,interurban
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,interurban,interurban
HOSPITAL SEVERO OCHOA,PARQUE DE LOS ESTADOS,interurban,interurban
HOSPITAL SEVERO OCHOA,PARQUE EUROPA,interurban,interurban
JARAMA,SAN FERNANDO,interurban,interurban
JOAQUIN VILUMBRALES,PARQUE LISBOA,interurban,interurban
JOAQUIN VILUMBRALES,PUERTA DEL SUR,interurban,interurban
JUAN DE LA CIERVA,LOS ESPARTALES,interurban,interurban
JUAN DE LA CIERVA,PLAZA ELIPTICA,interurban,interurban
JULIAN BESTEIRO,LA FORTUNA,interurban,interurban
JULIAN BESTEIRO,LA PESETA,interurban,interurban
JULIAN BESTEIRO,PAN BENDITO,interurban,interurban
JULIAN BESTEIRO,SAN NICASIO,interurban,interurban
LA FORTUNA,PAN BENDITO,interurban,interurban
LA FORTUNA,SAN NICASIO,interurban,interurban
LA GRANJA,LA MORALEJA,interurban,interurban
LA GRANJA,MANUEL DE FALLA,interurban,interurban
LA GRANJA,MARQUES DE LA VALDAVIA,interurban,interurban
LA GRANJA,RONDA DE LA COMUNICACION,interurban,interurban
LA MORALEJA,MANUEL DE FALLA,interurban,interurban
LA MORALEJA,MARQUES DE LA VALDAVIA,interurban,interurban
LA MORALEJA,PINAR DE CHAMARTIN,interurban,interurban
LA MORALEJA,PLAZA DE CASTILLA,interurban,interurban
LA MORALEJA,REYES CATOLICOS,interurban,interurban
LA MORALEJA,RONDA DE LA COMUNICACION,interurban,interurban
LA RAMBLA,SAN FERNANDO,interurban,interurban
LAS MUSAS,SIMANCAS,interurban,interurban
LEGANES CENTRAL,PARQUE DE LOS ESTADOS,interurban,interurban
LEGANES CENTRAL,SAN NICASIO,interurban,interurban
LORANCA,PARQUE EUROPA,interurban,interurban
LORANCA,PRADILLO,interurban,interurban
LOS ESPARTALES,PLAZA ELIPTICA,interurban,interurban
LOS ESPARTALES,VILLAVERDE ALTO,interurban,interurban
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,interurban,interurban
MANUELA MALASAÑA,MOSTOLES CENTRAL,interurban,interurban
MANUELA MALASAÑA,PRADILLO,interurban,interurban
MARQUES DE LA VALDAVIA,PINAR DE CHAMARTIN,interurban,interurban
MARQUES DE LA VALDAVIA,PLAZA DE CASTILLA,interurban,interurban
MARQUES DE LA VALDAVIA,REYES CATOLICOS,interurban,interurban
MONCLOA,PRINCIPE PIO,interurban,interurban
MOSTOLES CENTRAL,PRADILLO,interurban,interurban
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,interurban,interurban
OPAÑEL,OPORTO,interurban,interurban
OPORTO,VISTA ALEGRE,interurban,interurban
PALOS DE LA FRONTERA,USERA,interurban,interurban
PAN BENDITO,PLAZA ELIPTICA,interurban,interurban
PAN BENDITO,SAN FRANCISCO,interurban,interurban
PARQUE EUROPA,PRADILLO,interurban,interurban
PARQUE LISBOA,PUERTA DEL SUR,interurban,interurban
PAVONES,RIVAS VACIAMADRID,interurban,interurban
PLAZA DE CASTILLA,REYES CATOLICOS,interurban,interurban
PLAZA ELIPTICA,USERA,interurban,interurban
PUERTA DE ARGANDA,SAN CIPRIANO,interurban,interurban
PUERTA DEL SUR,SAN NICASIO,interurban,interurban
RIVAS FUTURA,RIVAS URBANIZACIONES,interurban,interurban
RIVAS FUTURA,RIVAS VACIAMADRID,interurban,interurban
SAN CIPRIANO,VICALVARO,interurban,interurban
SAN CRISTOBAL,VILLAVERDE BAJO CRUCE,interurban,interurban
VILLAVERDE ALTO,VILLAVERDE BAJO CRUCE,interurban,interurban
ABRANTES,ABRANTES,interurban,metro
AEROPUERTO T-4,AEROPUERTO T-4,interurban,metro
AEROPUERTO T1-T2-T3,AEROPUERTO T1-T2-T3,interurban,metro
ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,interurban,metro
ALCORCON CENTRAL,ALCORCON CENTRAL,interurban,metro
ALMENDRALES,ALMENDRALES,interurban,metro
ALONSO DE MENDOZA,ALONSO DE MENDOZA,interurban,metro
ALSACIA,ALSACIA,interurban,metro
ALUCHE,ALUCHE,interurban,metro
ARGANDA DEL REY,ARGANDA DEL REY,interurban,metro
ARROYO CULEBRO,ARROYO CULEBRO,interurban,metro
ATOCHA,ATOCHA,interurban,metro
AVENIDA DE AMERICA,AVENIDA DE AMERICA,interurban,metro
AVENIDA DE GUADALAJARA,AVENIDA DE GUADALAJARA,interurban,metro
AVENIDA DE LA ILUSTRACION,AVENIDA DE LA ILUSTRACION,interurban,metro
AVIACION ESPAÑOLA,AVIACION ESPAÑOLA,interurban,metro
BAMBU,BAMBU,interurban,metro
BARAJAS,BARAJAS,interurban,metro
BARRIO DEL PUERTO,BARRIO DEL PUERTO,interurban,metro
BATAN,BATAN,interurban,metro
BAUNATAL,BAUNATAL,interurban,metro
BEGOÑA,BEGOÑA,interurban,metro
CAMPAMENTO,CAMPAMENTO,interurban,metro
CANILLEJAS,CANILLEJAS,interurban,metro
CARABANCHEL,CARABANCHEL,interurban,metro
CARABANCHEL ALTO,CARABANCHEL ALTO,interurban,metro
CARTAGENA,CARTAGENA,interurban,metro
CASA DEL RELOJ,CASA DEL RELOJ,interurban,metro
CHAMARTIN,CHAMARTIN,interurban,metro
CIUDAD DE LOS ANGELES,CIUDAD DE LOS ANGELES,interurban,metro
CIUDAD LINEAL,CIUDAD LINEAL,interurban,metro
CIUDAD UNIVERSITARIA,CIUDAD UNIVERSITARIA,interurban,metro
COLONIA JARDIN,COLONIA JARDIN,interurban,metro
CONDE DE CASAL,CONDE DE CASAL,interurban,metro
CONSERVATORIO,CONSERVATORIO,interurban,metro
COSLADA CENTRAL,COSLADA CENTRAL,interurban,metro
CUATRO VIENTOS,CUATRO VIENTOS,interurban,metro
DELICIAS,DELICIAS,interurban,metro
EL BERCIAL,EL BERCIAL,interurban,metro
EL CAPRICHO,EL CAPRICHO,interurban,metro
EL CARRASCAL,EL CARRASCAL,interurban,metro
EL CASAR,EL CASAR,interurban,metro
EMPALME,EMPALME,interurban,metro
ESTACION DEL ARTE,ESTACION DEL ARTE,interurban,metro
ESTADIO METROPOLITANO,ESTADIO METROPOLITANO,interurban,metro
EUGENIA DE MONTIJO,EUGENIA DE MONTIJO,interurban,metro
FERIA DE MADRID,FERIA DE MADRID,interurban,metro
FUENCARRAL,FUENCARRAL,interurban,metro
FUENLABRADA CENTRAL,FUENLABRADA CENTRAL,interurban,metro
GARCIA NOBLEJAS,GARCIA NOBLEJAS,interurban,metro
GETAFE CENTRAL,GETAFE CENTRAL,interurban,metro
HENARES,HENARES,interurban,metro
HERRERA ORIA,HERRERA ORIA,interurban,metro
HOSPITAL 12 DE OCTUBRE,HOSPITAL 12 DE OCTUBRE,interurban,metro
HOSPITAL DE FUENLABRADA,HOSPITAL DE FUENLABRADA,interurban,metro
HOSPITAL DE MOSTOLES,HOSPITAL DE MOSTOLES,interurban,metro
HOSPITAL DEL HENARES,HOSPITAL DEL HENARES,interurban,metro
HOSPITAL INFANTA SOFIA,HOSPITAL INFANTA SOFIA,interurban,metro
HOSPITAL SEVERO OCHOA,HOSPITAL SEVERO OCHOA,interurban,metro
JARAMA,JARAMA,interurban,metro
JOAQUIN VILUMBRALES,JOAQUIN VILUMBRALES,interurban,metro
JUAN DE LA CIERVA,JUAN DE LA CIERVA,interurban,metro
JULIAN BESTEIRO,JULIAN BESTEIRO,interurban,metro
LA FORTUNA,LA FORTUNA,interurban,metro
