stop1,stop2,transporte1,transporte2,mean_time_diff
BEGOÑA,HERRERA ORIA,urban,urban,346.4864457831325
BEGOÑA,LAS TABLAS,urban,urban,1392.613368283093
BEGOÑA,PACO DE LUCIA,urban,urban,767.7137254901961
BEGOÑA,PLAZA DE CASTILLA,urban,urban,313.16
BEGOÑA,TRES OLIVOS,urban,urban,927.0372549019608
BILBAO,IGLESIA,urban,urban,203.70440251572327
BILBAO,QUEVEDO,urban,urban,126.86105675146771
BILBAO,SAN BERNARDO,urban,urban,108.03249097472924
BILBAO,TRIBUNAL,urban,urban,145.34555555555556
BUENOS AIRES,CONDE DE CASAL,urban,urban,910.1677740863788
BUENOS AIRES,NUEVA NUMANCIA,urban,urban,1023.7467811158798
BUENOS AIRES,PORTAZGO,urban,urban,139.905461393597
CALLAO,GRAN VIA,urban,urban,80.26428852975955
CALLAO,NOVICIADO,urban,urban,162.29375
CALLAO,PLAZA DE ESPAÑA,urban,urban,228.4570446735395
CALLAO,SANTO DOMINGO,urban,urban,95.32224565958136
CALLAO,TRIBUNAL,urban,urban,96.7125
CAMPAMENTO,CASA DE CAMPO,urban,urban,358.8533145275035
CAMPAMENTO,COLONIA JARDIN,urban,urban,253.7692307692308
CAMPAMENTO,EMPALME,urban,urban,165.44433688286543
CANAL,IGLESIA,urban,urban,156.04761904761904
CANAL,ISLAS FILIPINAS,urban,urban,230.26136363636363
CANAL,QUEVEDO,urban,urban,229.6374549819928
CANAL,RIOS ROSAS,urban,urban,147.67110266159696
CANILLAS,CANILLEJAS,urban,urban,793.6635071090047
CANILLAS,ESPERANZA,urban,urban,299.0434782608696
CANILLAS,FERIA DE MADRID,urban,urban,627.9162264150943
CANILLAS,MAR DE CRISTAL,urban,urban,276.5510355029586
CANILLAS,TORRE ARIAS,urban,urban,1085.120930232558
CANILLEJAS,EL CAPRICHO,urban,urban,281.7630544637844
CANILLEJAS,LAS MUSAS,urban,urban,600.0
CANILLEJAS,PARQUE DE LAS AVENIDAS,urban,urban,1098.0278207109736
CANILLEJAS,TORRE ARIAS,urban,urban,281.3463925523662
CARABANCHEL,CARABANCHEL ALTO,urban,urban,520.4601769911504
CARABANCHEL,CARPETANA,urban,urban,216.3707250341997
CARABANCHEL,EUGENIA DE MONTIJO,urban,urban,211.6446821152704
CARABANCHEL,VISTA ALEGRE,urban,urban,157.24399690162664
CARABANCHEL ALTO,EUGENIA DE MONTIJO,urban,urban,442.0451527224436
CARABANCHEL ALTO,LA PESETA,urban,urban,669.9938388625592
CARABANCHEL ALTO,SAN FRANCISCO,urban,urban,317.7472952086553
CARABANCHEL ALTO,VISTA ALEGRE,urban,urban,662.2358208955224
CARPETANA,EMPALME,urban,urban,511.3167701863354
CARPETANA,EUGENIA DE MONTIJO,urban,urban,432.5521327014218
CARPETANA,LAGUNA,urban,urban,164.92137776113816
CARPETANA,OPORTO,urban,urban,287.0232018561485
CARPETANA,PIRAMIDES,urban,urban,864.6391862955032
CARPETANA,PUERTA DEL ANGEL,urban,urban,994.8310626702996
CARPETANA,VISTA ALEGRE,urban,urban,121.33124018838303
CARTAGENA,DIEGO DE LEON,urban,urban,308.4552380952381
CARTAGENA,PARQUE DE LAS AVENIDAS,urban,urban,159.99655963302752
CARTAGENA,PROSPERIDAD,urban,urban,265.33714285714285
CASA DE CAMPO,EMPALME,urban,urban,569.9004329004329
CASA DE CAMPO,LAGUNA,urban,urban,516.3160714285714
CASA DE CAMPO,LUCERO,urban,urban,208.38888888888889
CHAMARTIN,PLAZA DE CASTILLA,urban,urban,188.60315040650408
CHUECA,COLON,urban,urban,68.9047619047619
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,urban,urban,389.03646144650327
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,urban,urban,359.5421398684997
CIUDAD LINEAL,GARCIA NOBLEJAS,urban,urban,284.66139347021203
CIUDAD LINEAL,PUEBLO NUEVO,urban,urban,208.6549636803874
CIUDAD LINEAL,QUINTANA,urban,urban,298.171679197995
CIUDAD LINEAL,SUANZES,urban,urban,234.0934278350516
CIUDAD UNIVERSITARIA,ISLAS FILIPINAS,urban,urban,365.0966514459665
CIUDAD UNIVERSITARIA,MONCLOA,urban,urban,280.75198216055503
CIUDAD UNIVERSITARIA,PRINCIPE PIO,urban,urban,1009.375515818432
CIUDAD UNIVERSITARIA,VICENTE ALEIXANDRE,urban,urban,316.44647696476966
COLOMBIA,CONCHA ESPINA,urban,urban,229.262112234228
COLOMBIA,CUZCO,urban,urban,349.6864463924477
COLOMBIA,MANOTERAS,urban,urban,1314.1694214876034
COLOMBIA,PINAR DEL REY,urban,urban,762.468085106383
COLOMBIA,PIO XII,urban,urban,182.11967213114755
COLOMBIA,SANTIAGO BERNABEU,urban,urban,382.1310116086236
COLON,RUBEN DARIO,urban,urban,237.07192575406032
COLON,SERRANO,urban,urban,166.4738202973497
COLON,VELAZQUEZ,urban,urban,117.93396226415096
COLONIA JARDIN,EMPALME,urban,urban,184.23044397463
CONCHA ESPINA,CRUZ DEL RAYO,urban,urban,161.44868585732166
CONCHA ESPINA,REPUBLICA ARGENTINA,urban,urban,324.8514851485148
CONCHA ESPINA,SANTIAGO BERNABEU,urban,urban,376.9297848244621
CONDE DE CASAL,ESTRELLA,urban,urban,433.56216216216217
CONDE DE CASAL,LA GAVIA,urban,urban,1608.4904013961605
CONDE DE CASAL,MENENDEZ PELAYO,urban,urban,247.1358284272497
CONDE DE CASAL,PACIFICO,urban,urban,170.65121951219513
CONDE DE CASAL,SAINZ DE BARANDA,urban,urban,299.8639308855292
CONDE DE CASAL,SIERRA DE GUADALUPE,urban,urban,1244.9961977186313
CONDE DE CASAL,VILLA DE VALLECAS,urban,urban,1803.9646464646464
CONGOSTO,LA GAVIA,urban,urban,540.3988764044943
CONGOSTO,SIERRA DE GUADALUPE,urban,urban,329.3404255319149
CONGOSTO,VILLA DE VALLECAS,urban,urban,344.0792610250298
CRUZ DEL RAYO,PROSPERIDAD,urban,urban,140.39224137931035
CRUZ DEL RAYO,REPUBLICA ARGENTINA,urban,urban,155.0865224625624
CUATRO CAMINOS,GUZMAN EL BUENO,urban,urban,185.3203368683718
CUATRO CAMINOS,NUEVOS MINISTERIOS,urban,urban,290.8194233687405
CUATRO CAMINOS,RIOS ROSAS,urban,urban,175.12109542148053
CUZCO,PLAZA DE CASTILLA,urban,urban,258.501155624037
CUZCO,SANTIAGO BERNABEU,urban,urban,255.0615926088869
CUZCO,TETUAN,urban,urban,205.6797520661157
CUZCO,VALDEACEDERAS,urban,urban,285.25396825396825
DELICIAS,EMBAJADORES,urban,urban,262.7744488411532
DELICIAS,LEGAZPI,urban,urban,285.6827177808945
DELICIAS,MENDEZ ALVARO,urban,urban,409.1782945736434
DELICIAS,PALOS DE LA FRONTERA,urban,urban,121.00517672259907
DELICIAS,PLAZA ELIPTICA,urban,urban,813.5632183908046
DELICIAS,USERA,urban,urban,389.09027777777777
DIEGO DE LEON,LISTA,urban,urban,226.4348484848485
DIEGO DE LEON,MANUEL BECERRA,urban,urban,229.3377933757403
DIEGO DE LEON,NUÑEZ DE BALBOA,urban,urban,190.2974203338392
DIEGO DE LEON,PARQUE DE LAS AVENIDAS,urban,urban,314.6889312977099
DIEGO DE LEON,VENTAS,urban,urban,182.52243589743588
DUQUE DE PASTRANA,PIO XII,urban,urban,170.84231274638634
DUQUE DE PASTRANA,PLAZA DE CASTILLA,urban,urban,268.61254425897823
EL CARMEN,LA ELIPA,urban,urban,402.41039156626505
EL CARMEN,PARQUE DE LAS AVENIDAS,urban,urban,170.3574297188755
EL CARMEN,PUEBLO NUEVO,urban,urban,308.0860655737705
EL CARMEN,QUINTANA,urban,urban,205.88209121245828
EL CARMEN,VENTAS,urban,urban,198.65501634397788
EMBAJADORES,LAVAPIES,urban,urban,111.40550029256876
EMBAJADORES,PIRAMIDES,urban,urban,184.84031413612564
EMPALME,LAGUNA,urban,urban,432.4168937329701
ESPERANZA,PINAR DEL REY,urban,urban,85.2156862745098
ESTACION DEL ARTE,LAVAPIES,urban,urban,200.58422126501927
ESTACION DEL ARTE,MENENDEZ PELAYO,urban,urban,384.4139194139194
ESTACION DEL ARTE,PALOS DE LA FRONTERA,urban,urban,196.1850977023835
ESTACION DEL ARTE,RETIRO,urban,urban,221.76939655172413
ESTACION DEL ARTE,SEVILLA,urban,urban,246.76
ESTACION DEL ARTE,USERA,urban,urban,683.5966666666667
ESTADIO METROPOLITANO,LAS MUSAS,urban,urban,197.86709367493995
ESTADIO METROPOLITANO,LAS ROSAS,urban,urban,236.81652661064425
ESTRECHO,FRANCOS RODRIGUEZ,urban,urban,303.6474901297236
ESTRECHO,SANTIAGO BERNABEU,urban,urban,336.1897435897436
ESTRECHO,TETUAN,urban,urban,211.72735804786484
ESTRELLA,ODONNELL,urban,urban,627.0723905723905
ESTRELLA,PUENTE DE VALLECAS,urban,urban,453.9011627906977
ESTRELLA,SAINZ DE BARANDA,urban,urban,318.1356832448093
ESTRELLA,VINATEROS,urban,urban,200.70079950799507
FERIA DE MADRID,MAR DE CRISTAL,urban,urban,553.3166666666667
FERIA DE MADRID,SUANZES,urban,urban,750.9037037037037
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,urban,urban,471.3638743455497
FRANCOS RODRIGUEZ,VALDEZARZA,urban,urban,335.50158931977114
FRANCOS RODRIGUEZ,VICENTE ALEIXANDRE,urban,urban,404.2078313253012
FUENCARRAL,HERRERA ORIA,urban,urban,476.22546012269936
FUENCARRAL,LAS TABLAS,urban,urban,940.6674311926604
FUENCARRAL,MONTECARMELO,urban,urban,452.0808080808081
FUENCARRAL,PACO DE LUCIA,urban,urban,343.32684824902725
FUENCARRAL,TRES OLIVOS,urban,urban,210.04117647058823
GARCIA NOBLEJAS,LA ALMUDENA,urban,urban,276.4011976047904
GARCIA NOBLEJAS,SIMANCAS,urban,urban,151.24098211579266
GARCIA NOBLEJAS,SUANZES,urban,urban,405.4191343963553
GOYA,IBIZA,urban,urban,225.0921337503007
GOYA,LISTA,urban,urban,211.3242424242424
GOYA,MANUEL BECERRA,urban,urban,226.2171985815603
GOYA,ODONNELL,urban,urban,203.3457364341085
GOYA,PRINCIPE DE VERGARA,urban,urban,114.81608292759542
GRAN VIA,SEVILLA,urban,urban,67.25998573466477
GRAN VIA,TRIBUNAL,urban,urban,261.49068322981367
GREGORIO MARAÑON,IGLESIA,urban,urban,184.31068560840023
GREGORIO MARAÑON,NUEVOS MINISTERIOS,urban,urban,265.09603561585755
GREGORIO MARAÑON,REPUBLICA ARGENTINA,urban,urban,209.7153110047847
GREGORIO MARAÑON,RIOS ROSAS,urban,urban,405.6520947176685
GREGORIO MARAÑON,RUBEN DARIO,urban,urban,178.9736111111111
GUZMAN EL BUENO,ISLAS FILIPINAS,urban,urban,291.3732057416268
GUZMAN EL BUENO,VICENTE ALEIXANDRE,urban,urban,275.5154994259472
HERRERA ORIA,PACO DE LUCIA,urban,urban,445.9272349272349
HORTALEZA,LAS TABLAS,urban,urban,1870.2551724137927
HORTALEZA,MANOTERAS,urban,urban,312.9829443447037
HORTALEZA,PARQUE DE SANTA MARIA,urban,urban,190.3747790218032
HORTALEZA,PINAR DEL REY,urban,urban,124.80716368179924
HOSPITAL 12 DE OCTUBRE,PAN BENDITO,urban,urban,1143.0809523809523
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,urban,urban,127.09351821992904
HOSPITAL 12 DE OCTUBRE,USERA,urban,urban,1156.855
IBIZA,MENENDEZ PELAYO,urban,urban,498.14891179839634
IBIZA,PRINCIPE DE VERGARA,urban,urban,94.5442957297642
IBIZA,SAINZ DE BARANDA,urban,urban,312.3868464052288
IGLESIA,QUEVEDO,urban,urban,118.23289665211064
IGLESIA,RUBEN DARIO,urban,urban,159.29612756264237
ISLAS FILIPINAS,MONCLOA,urban,urban,140.81585623678646
ISLAS FILIPINAS,QUEVEDO,urban,urban,339.38023450586263
ISLAS FILIPINAS,VICENTE ALEIXANDRE,urban,urban,301.51505376344085
LA ALMUDENA,LA ELIPA,urban,urban,274.28218465539663
LA ALMUDENA,SIMANCAS,urban,urban,252.70103092783503
LA ELIPA,ODONNELL,urban,urban,511.76317383404
LA ELIPA,PUEBLO NUEVO,urban,urban,455.6578947368421
LA ELIPA,QUINTANA,urban,urban,296.32267441860466
LA ELIPA,VINATEROS,urban,urban,689.862973760933
LA GAVIA,LAS SUERTES,urban,urban,354.4863813229572
LA LATINA,LAVAPIES,urban,urban,239.587786259542
LA LATINA,MARQUES DE VADILLO,urban,urban,1173.6487455197132
LA LATINA,OPERA,urban,urban,139.4136690647482
LA LATINA,PUERTA DE TOLEDO,urban,urban,186.82049291674755
LA LATINA,PUERTA DEL ANGEL,urban,urban,450.12817483756646
LA LATINA,SOL,urban,urban,131.3010752688172
LA LATINA,TIRSO DE MOLINA,urban,urban,125.7225988700565
LA PESETA,PAN BENDITO,urban,urban,843.7746710526316
LA PESETA,SAN FRANCISCO,urban,urban,718.7629310344828
LACOMA,MIRASIERRA,urban,urban,321.98111658456486
LAGUNA,LUCERO,urban,urban,239.14853556485355
LAGUNA,PUERTA DEL ANGEL,urban,urban,903.4341736694678
LAS MUSAS,LAS ROSAS,urban,urban,273.21372965322007
LAS MUSAS,SAN BLAS,urban,urban,333.88381099922543
LAS MUSAS,SUANZES,urban,urban,443.061403508772
LAS MUSAS,TORRE ARIAS,urban,urban,491.62260010970925
LAS SUERTES,VALDECARROS,urban,urban,215.4171206225681
LAS TABLAS,MONTECARMELO,urban,urban,995.1313131313132
LAS TABLAS,RONDA DE LA COMUNICACION,urban,urban,229.3817427385892
LAVAPIES,PALOS DE LA FRONTERA,urban,urban,177.5978021978022
LAVAPIES,TIRSO DE MOLINA,urban,urban,449.7846153846154
LEGAZPI,MARQUES DE VADILLO,urban,urban,441.1862567811935
LEGAZPI,MENDEZ ALVARO,urban,urban,447.8418803418804
LEGAZPI,PIRAMIDES,urban,urban,611.347280334728
LEGAZPI,USERA,urban,urban,98.92753623188406
LISTA,MANUEL BECERRA,urban,urban,142.39009900990098
LISTA,NUÑEZ DE BALBOA,urban,urban,146.8089108910891
LUCERO,PUERTA DEL ANGEL,urban,urban,637.8758700696055
MANOTERAS,PINAR DE CHAMARTIN,urban,urban,240.6340782122905
MANOTERAS,PIO XII,urban,urban,492.82295988934993
MANUEL BECERRA,ODONNELL,urban,urban,182.4097434690516
MANUEL BECERRA,VENTAS,urban,urban,194.5047364085667
MAR DE CRISTAL,PINAR DEL REY,urban,urban,218.8023690773068
MAR DE CRISTAL,SAN LORENZO,urban,urban,305.0400843881857
MARQUES DE VADILLO,PIRAMIDES,urban,urban,348.48923385077615
MARQUES DE VADILLO,PLAZA ELIPTICA,urban,urban,415.5083333333333
MARQUES DE VADILLO,PUERTA DEL ANGEL,urban,urban,798.3076923076923
MARQUES DE VADILLO,URGEL,urban,urban,203.04935543278089
MARQUES DE VADILLO,USERA,urban,urban,400.6885245901639
MENDEZ ALVARO,MENENDEZ PELAYO,urban,urban,418.7865497076023
MENDEZ ALVARO,PACIFICO,urban,urban,318.87142857142857
MENDEZ ALVARO,PUENTE DE VALLECAS,urban,urban,338.5247446975648
MENENDEZ PELAYO,PACIFICO,urban,urban,188.8602502979737
MENENDEZ PELAYO,PALOS DE LA FRONTERA,urban,urban,207.5313531353136
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,urban,urban,475.28296146044624
MIRASIERRA,PACO DE LUCIA,urban,urban,243.5505341002465
MIRASIERRA,PITIS,urban,urban,439.8813131313131
MONTECARMELO,PACO DE LUCIA,urban,urban,402.08774038461536
NOVICIADO,PLAZA DE ESPAÑA,urban,urban,73.85403726708074
NOVICIADO,SAN BERNARDO,urban,urban,148.34803001876173
NOVICIADO,SANTO DOMINGO,urban,urban,125.0750469043152
NOVICIADO,TRIBUNAL,urban,urban,291.30864197530866
NUEVA NUMANCIA,PORTAZGO,urban,urban,165.1083916083916
NUEVA NUMANCIA,PUENTE DE VALLECAS,urban,urban,225.7408346783491
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,urban,urban,210.5336605890603
NUEVOS MINISTERIOS,RIOS ROSAS,urban,urban,180.6471663619744
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,urban,urban,162.07399495047582
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,urban,urban,269.13094245204337
NUÑEZ DE BALBOA,RUBEN DARIO,urban,urban,295.12144702842374
NUÑEZ DE BALBOA,VELAZQUEZ,urban,urban,257.7897252090801
ODONNELL,PAVONES,urban,urban,1055.217987804878
ODONNELL,SAINZ DE BARANDA,urban,urban,219.26185819070903
ODONNELL,VICALVARO,urban,urban,1037.6814641744547
OPAÑEL,OPORTO,urban,urban,235.7527301092044
OPAÑEL,PLAZA ELIPTICA,urban,urban,143.352279455299
OPERA,PLAZA DE ESPAÑA,urban,urban,310.4289985052317
OPERA,PUERTA DE TOLEDO,urban,urban,453.6729323308271
OPORTO,URGEL,urban,urban,260.71381215469614
OPORTO,VISTA ALEGRE,urban,urban,195.7724259832081
PACIFICO,PUENTE DE VALLECAS,urban,urban,206.91019567456232
PACO DE LUCIA,PITIS,urban,urban,404.3467741935484
PALOS DE LA FRONTERA,PLAZA ELIPTICA,urban,urban,857.4239631336405
PAN BENDITO,PLAZA ELIPTICA,urban,urban,730.948275862069
PAN BENDITO,SAN FERMIN-ORCASUR,urban,urban,1109.055944055944
PAN BENDITO,SAN FRANCISCO,urban,urban,182.9829619921363
PARQUE DE LAS AVENIDAS,VENTAS,urban,urban,298.8360552763819
PARQUE DE SANTA MARIA,SAN LORENZO,urban,urban,168.22099447513813
PAVONES,VALDEBERNARDO,urban,urban,389.4571070757671
PAVONES,VICALVARO,urban,urban,743.0571428571428
PINAR DE CHAMARTIN,PIO XII,urban,urban,825.4454072790295
PIRAMIDES,PUERTA DE TOLEDO,urban,urban,140.9641216991963
PIRAMIDES,PUERTA DEL ANGEL,urban,urban,685.0504774897681
PLAZA DE CASTILLA,VALDEACEDERAS,urban,urban,207.85189112760693
PLAZA DE CASTILLA,VENTILLA,urban,urban,356.35042735042737
PLAZA DE ESPAÑA,PRINCIPE PIO,urban,urban,304.3315282791817
PLAZA DE ESPAÑA,SANTO DOMINGO,urban,urban,131.73433770883054
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,urban,urban,142.75367124585503
PLAZA ELIPTICA,SAN FERMIN-ORCASUR,urban,urban,1179.208121827411
PLAZA ELIPTICA,USERA,urban,urban,284.1967821782178
PRINCIPE DE VERGARA,RETIRO,urban,urban,211.35260770975057
PRINCIPE DE VERGARA,SERRANO,urban,urban,115.1012987012987
PRINCIPE DE VERGARA,VELAZQUEZ,urban,urban,91.68339768339769
PRINCIPE PIO,PUERTA DEL ANGEL,urban,urban,273.0629161882893
PUENTE DE VALLECAS,VINATEROS,urban,urban,697.0933333333334
PUERTA DE ARGANDA,SAN CIPRIANO,urban,urban,156.8020235165436
PUERTA DE ARGANDA,VICALVARO,urban,urban,564.6730158730159
PUERTA DE TOLEDO,PUERTA DEL ANGEL,urban,urban,448.010752688172
REPUBLICA ARGENTINA,RUBEN DARIO,urban,urban,491.86692015209127
RETIRO,SERRANO,urban,urban,210.8324225865209
RETIRO,VELAZQUEZ,urban,urban,255.8494897959184
RUBEN DARIO,SERRANO,urban,urban,205.6909532483303
SAN BERNARDO,VENTURA RODRIGUEZ,urban,urban,124.38275862068966
SAN BLAS,SIMANCAS,urban,urban,145.42846270928462
SAN CIPRIANO,VALDEBERNARDO,urban,urban,957.7173447537472
SAN CIPRIANO,VICALVARO,urban,urban,98.68452173913045
SAN CRISTOBAL,VILLAVERDE ALTO,urban,urban,714.169014084507
SAN CRISTOBAL,VILLAVERDE BAJO CRUCE,urban,urban,327.26598984771573
SAN FERMIN-ORCASUR,USERA,urban,urban,871.5
SERRANO,VELAZQUEZ,urban,urban,115.12998712998711
SEVILLA,SOL,urban,urban,193.62
SIERRA DE GUADALUPE,VALDEBERNARDO,urban,urban,527.4201680672269
SIERRA DE GUADALUPE,VILLA DE VALLECAS,urban,urban,103.17693315858452
SIERRA DE GUADALUPE,VILLAVERDE BAJO CRUCE,urban,urban,1935.96918767507
SIMANCAS,TORRE ARIAS,urban,urban,474.06789413118526
SOL,TIRSO DE MOLINA,urban,urban,243.4402173913044
SUANZES,TORRE ARIAS,urban,urban,222.2551103843009
TETUAN,VALDEACEDERAS,urban,urban,90.72964574269731
VALDEACEDERAS,VENTILLA,urban,urban,138.57773512476007
VALDEBERNARDO,VICALVARO,urban,urban,411.3193277310924
VILLAVERDE ALTO,VILLAVERDE BAJO CRUCE,urban,urban,795.71875
ABRANTES,OPAÑEL,interurban,interurban,93.58894645941278
ABRANTES,PAN BENDITO,interurban,interurban,117.43868739205529
AEROPUERTO T-4,BARAJAS,interurban,interurban,135.23214285714286
AEROPUERTO T-4,FERIA DE MADRID,interurban,interurban,644.4
AEROPUERTO T-4,MANUEL DE FALLA,interurban,interurban,1192.327868852459
AEROPUERTO T-4,MARQUES DE LA VALDAVIA,interurban,interurban,446.3057851239669
AEROPUERTO T1-T2-T3,COSLADA CENTRAL,interurban,interurban,1209.7
ALAMEDA DE OSUNA,BARAJAS,interurban,interurban,240.0802792321117
ALAMEDA DE OSUNA,CANILLEJAS,interurban,interurban,289.99650959860384
ALCORCON CENTRAL,CUATRO VIENTOS,interurban,interurban,950.685628742515
ALCORCON CENTRAL,MOSTOLES CENTRAL,interurban,interurban,1079.1418439716313
ALCORCON CENTRAL,PARQUE LISBOA,interurban,interurban,255.18431689571543
ALCORCON CENTRAL,PARQUE OESTE,interurban,interurban,397.51063829787233
ALCORCON CENTRAL,PRADILLO,interurban,interurban,1482.4888888888888
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,interurban,interurban,194.7586206896552
ALMENDRALES,LEGAZPI,interurban,interurban,118.10794602698653
ALONSO DE MENDOZA,CONSERVATORIO,interurban,interurban,369.16953125
ALONSO DE MENDOZA,GETAFE CENTRAL,interurban,interurban,403.1289198606272
ALONSO DE MENDOZA,JUAN DE LA CIERVA,interurban,interurban,666.3862275449102
ALSACIA,AVENIDA DE GUADALAJARA,interurban,interurban,287.6061320754717
ALSACIA,SIMANCAS,interurban,interurban,132.11764705882354
ALSACIA,VICALVARO,interurban,interurban,482.11764705882354
ALUCHE,CARABANCHEL ALTO,interurban,interurban,262.264895908112
ALUCHE,EMPALME,interurban,interurban,147.66682134570766
ALUCHE,LA FORTUNA,interurban,interurban,613.9061371841156
ARGANDA DEL REY,LA POVEDA,interurban,interurban,86.83257918552036
ARGANDA DEL REY,PAVONES,interurban,interurban,1181.8947368421052
ARGANDA DEL REY,RIVAS VACIAMADRID,interurban,interurban,560.25
ARROYO CULEBRO,CONSERVATORIO,interurban,interurban,541.6810344827586
ATOCHA,PLAZA ELIPTICA,interurban,interurban,238.56716417910448
AVENIDA DE AMERICA,CANILLEJAS,interurban,interurban,642.4235897435898
AVENIDA DE AMERICA,CARTAGENA,interurban,interurban,63.61830357142857
AVENIDA DE AMERICA,PARQUE DE LAS AVENIDAS,interurban,interurban,109.75
AVENIDA DE GUADALAJARA,VICALVARO,interurban,interurban,505.8679245283019
AVENIDA DE LA ILUSTRACION,HERRERA ORIA,interurban,interurban,191.4333333333333
AVIACION ESPAÑOLA,CAMPAMENTO,interurban,interurban,314.0769230769231
AVIACION ESPAÑOLA,COLONIA JARDIN,interurban,interurban,260.53846153846155
AVIACION ESPAÑOLA,CUATRO VIENTOS,interurban,interurban,161.82692307692307
BAMBU,CHAMARTIN,interurban,interurban,94.83505154639175
BAMBU,MARQUES DE LA VALDAVIA,interurban,interurban,1272.5729166666667
BAMBU,PINAR DE CHAMARTIN,interurban,interurban,200.5394736842105
BARAJAS,CANILLEJAS,interurban,interurban,0.0
BARRIO DEL PUERTO,COSLADA CENTRAL,interurban,interurban,208.9954128440367
BARRIO DEL PUERTO,ESTADIO METROPOLITANO,interurban,interurban,800.023598820059
BARRIO DEL PUERTO,PUERTA DE ARGANDA,interurban,interurban,957.3842794759826
BAUNATAL,BEGOÑA,interurban,interurban,1291.0
BAUNATAL,HOSPITAL INFANTA SOFIA,interurban,interurban,957.818181818182
BAUNATAL,LA MORALEJA,interurban,interurban,449.4375
BAUNATAL,MANUEL DE FALLA,interurban,interurban,239.8647058823529
BAUNATAL,MARQUES DE LA VALDAVIA,interurban,interurban,421.0411522633745
BAUNATAL,REYES CATOLICOS,interurban,interurban,598.5249042145593
BEGOÑA,CHAMARTIN,interurban,interurban,196.92380952380952
BEGOÑA,FUENCARRAL,interurban,interurban,279.7142857142857
BEGOÑA,HERRERA ORIA,interurban,interurban,368.4
BEGOÑA,HOSPITAL INFANTA SOFIA,interurban,interurban,1238.3676470588234
BEGOÑA,LA MORALEJA,interurban,interurban,1003.1111111111112
BEGOÑA,MARQUES DE LA VALDAVIA,interurban,interurban,1222.0723076923075
BEGOÑA,PLAZA DE CASTILLA,interurban,interurban,264.1586762834111
BEGOÑA,RONDA DE LA COMUNICACION,interurban,interurban,834.2543554006969
BEGOÑA,TRES OLIVOS,interurban,interurban,146.7058823529412
CAMPAMENTO,COLONIA JARDIN,interurban,interurban,282.484496124031
CAMPAMENTO,CUATRO VIENTOS,interurban,interurban,233.04225352112675
CAMPAMENTO,EMPALME,interurban,interurban,134.26644736842104
CAMPAMENTO,PRINCIPE PIO,interurban,interurban,471.7722772277228
CANILLEJAS,EL CAPRICHO,interurban,interurban,103.241186345831
CANILLEJAS,FERIA DE MADRID,interurban,interurban,441.2266666666667
CANILLEJAS,JARAMA,interurban,interurban,1151.8961538461538
CANILLEJAS,PARQUE DE LAS AVENIDAS,interurban,interurban,532.4730176211453
CANILLEJAS,SAN FERNANDO,interurban,interurban,1358.153488372093
CARABANCHEL,EUGENIA DE MONTIJO,interurban,interurban,143.2348623853211
CARABANCHEL,VISTA ALEGRE,interurban,interurban,82.4165137614679
CARABANCHEL ALTO,EUGENIA DE MONTIJO,interurban,interurban,270.76330275229355
CARABANCHEL ALTO,LA FORTUNA,interurban,interurban,700.2118055555555
CARABANCHEL ALTO,LA PESETA,interurban,interurban,138.58988764044943
CARABANCHEL ALTO,SAN FRANCISCO,interurban,interurban,134.52654867256638
CARTAGENA,PARQUE DE LAS AVENIDAS,interurban,interurban,55.973214285714285
CASA DEL RELOJ,EL CARRASCAL,interurban,interurban,1571.2554744525548
CASA DEL RELOJ,GETAFE CENTRAL,interurban,interurban,693.5169628432957
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,interurban,interurban,127.99241410084784
CASA DEL RELOJ,JULIAN BESTEIRO,interurban,interurban,215.59804847340257
CASA DEL RELOJ,LEGANES CENTRAL,interurban,interurban,199.6601941747573
CASA DEL RELOJ,SAN NICASIO,interurban,interurban,454.2322834645669
CHAMARTIN,FUENCARRAL,interurban,interurban,457.0
CHAMARTIN,PLAZA DE CASTILLA,interurban,interurban,202.7835051546392
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,interurban,interurban,180.98050974512745
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,interurban,interurban,256.2503748125937
CIUDAD LINEAL,GARCIA NOBLEJAS,interurban,interurban,243.3086330935252
CIUDAD UNIVERSITARIA,MONCLOA,interurban,interurban,141.36968510941114
COLONIA JARDIN,EMPALME,interurban,interurban,141.4279939363315
CONSERVATORIO,DELICIAS,interurban,interurban,945.1875
CONSERVATORIO,GETAFE CENTRAL,interurban,interurban,983.5394736842104
CONSERVATORIO,PARQUE DE LOS ESTADOS,interurban,interurban,1211.8181818181818
CONSERVATORIO,PLAZA ELIPTICA,interurban,interurban,1608.0464190981431
COSLADA CENTRAL,LA RAMBLA,interurban,interurban,396.4506892895016
